"CountryOfResidence","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","Occupation","OccupationYears","OccupationMonths","CommunitySize","MaritalStatus","NumberSons","NumberDaughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","P1","P2","DPmean","AIPmean","GPmean","SWLSmean","HDI","Category"
"Afghanistan",55,"Male","Yes Kids","ma","full-time",150000,"",0,0,"Large Town","Married",4,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.6,3.86666666666667,3.7,2.4,0.479,"Low"
"Afghanistan",80,"Female","No Kids","grade","unemployed",10000,"",0,0,"Medium-Sized","Single",0,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no",3,2.73333333333333,3.2,2.8,0.479,"Low"
"Afghanistan",55,"Male","No Kids","deg","full-time",87500,"",0,6,"Large Town","Married",0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,2.66666666666667,3.2,2.4,0.479,"Low"
"Afghanistan",55,"Female","Yes Kids","deg","full-time",10000,"",7,0,"Village","Divorced",4,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3.2,3.06666666666667,2.8,1.4,0.479,"Low"
"Albania",45,"Female","No Kids","ltuni","full-time",150000,"",0,0,"Large Town","Single",0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2.06666666666667,3.9,3,0.764,"High"
"Albania",67,"Male","Yes Kids","deg","part-time",87500,"Media Consultant",4,0,"Large-City","Divorced",0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.4,2.4,3,3.8,0.764,"High"
"Algeria",55,"Female","Yes Kids","dip","full-time",55000,"",28,0,"Large-City","Married",0,4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,"yes","no",1.6,2.13333333333333,2.35,3.8,0.745,"High"
"Algeria",45,"Male","Yes Kids","ma","full-time",35000,"",10,0,"Village","Married",2,0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,"yes","yes",4.2,2.86666666666667,3.4,3.6,0.745,"High"
"Algeria",37,"Female","No Kids","deg","full-time",67500,"",9,6,"Village","Married",0,0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,"yes","no",4.4,2.86666666666667,3.4,4.2,0.745,"High"
"Andorra",80,"Male","No Kids","ma","retired",45000,"retired",17,0,"Medium-Sized","Single",0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,"no","no",1.4,1.46666666666667,2.05,4,0.858,"Very High"
