"Country","HDI","Category"
"Norway","0.949","Very High"
"Australia","0.939","Very High"
"Switzerland","0.939","Very High"
"Germany","0.926","Very High"
"Denmark","0.925","Very High"
"Singapore","0.925","Very High"
"Netherlands","0.924","Very High"
"Ireland","0.923","Very High"
"Iceland","0.921","Very High"
"Canada","0.920","Very High"
"United States","0.920","Very High"
"Hong Kong","0.917","Very High"
"New Zealand","0.915","Very High"
"Sweden","0.913","Very High"
"Liechtenstein","0.912","Very High"
"United Kingdom","0.909","Very High"
"Japan","0.903","Very High"
"South Korea","0.901","Very High"
"Israel","0.899","Very High"
"Luxembourg","0.898","Very High"
"France","0.897","Very High"
"Belgium","0.896","Very High"
"Finland","0.895","Very High"
"Austria","0.893","Very High"
"Slovenia","0.890","Very High"
"Italy","0.887","Very High"
"Spain","0.884","Very High"
"Czech Republic","0.878","Very High"
"Greece","0.866","Very High"
"Brunei","0.865","Very High"
"Estonia","0.865","Very High"
"Andorra","0.858","Very High"
"Cyprus","0.856","Very High"
"Malta","0.856","Very High"
"Qatar","0.856","Very High"
"Poland","0.855","Very High"
"Lithuania","0.848","Very High"
"Chile","0.847","Very High"
"Saudi Arabia","0.847","Very High"
"Slovakia","0.845","Very High"
"Portugal","0.843","Very High"
"United Arab Emirates","0.840","Very High"
"Hungary","0.836","Very High"
"Latvia","0.830","Very High"
"Argentina","0.827","Very High"
"Croatia","0.827","Very High"
"Bahrain","0.824","Very High"
"Montenegro","0.807","Very High"
"Russia","0.804","Very High"
"Romania","0.802","Very High"
"Kuwait","0.800","Very High"
"Belarus","0.796","High"
"Oman","0.796","High"
"Barbados","0.795","High"
"Uruguay","0.795","High"
"Bulgaria","0.794","High"
"Kazakhstan","0.794","High"
"Bahamas","0.792","High"
"Malaysia","0.789","High"
"Palau","0.788","High"
"Panama","0.788","High"
"Antigua and Barbuda","0.786","High"
"Seychelles","0.782","High"
"Mauritius","0.781","High"
"Trinidad and Tobago","0.780","High"
"Costa Rica","0.776","High"
"Serbia","0.776","High"
"Cuba","0.775","High"
"Iran","0.774","High"
"Georgia","0.769","High"
"Turkey","0.767","High"
"Venezuela","0.767","High"
"Sri Lanka","0.766","High"
"Saint Kitts and Nevis","0.765","High"
"Albania","0.764","High"
"Lebanon","0.763","High"
"Mexico","0.762","High"
"Azerbaijan","0.759","High"
"Brazil","0.754","High"
"Grenada","0.754","High"
"Bosnia and Herzegovina","0.750","High"
"Macedonia","0.748","High"
"Algeria","0.745","High"
"Armenia","0.743","High"
"Ukraine","0.743","High"
"Jordan","0.741","High"
"Peru","0.740","High"
"Thailand","0.740","High"
"Ecuador","0.739","High"
"China","0.738","High"
"Fiji","0.736","High"
"Mongolia","0.735","High"
"Saint Lucia","0.735","High"
"Jamaica","0.730","High"
"Colombia","0.727","High"
"Dominica","0.726","High"
"Suriname","0.725","High"
"Tunisia","0.725","High"
"Dominican Republic","0.722","High"
"Saint Vincent and the Grenadines","0.722","High"
"Tonga","0.721","High"
"World","0.717","High"
"Libya","0.716","High"
"Belize","0.706","High"
"Samoa","0.704","High"
"Maldives","0.701","High"
"Uzbekistan","0.701","High"
"Moldova","0.699","Medium"
"Botswana","0.698","Medium"
"Gabon","0.697","Medium"
"Paraguay","0.693","Medium"
"Egypt","0.691","Medium"
"Turkmenistan","0.691","Medium"
"Indonesia","0.689","Medium"
"Palestine","0.684","Medium"
"Vietnam","0.683","Medium"
"Philippines","0.682","Medium"
"El Salvador","0.680","Medium"
"Bolivia","0.674","Medium"
"South Africa","0.666","Medium"
"Kyrgyzstan","0.664","Medium"
"Iraq","0.649","Medium"
"Cape Verde","0.648","Medium"
"Morocco","0.647","Medium"
"Nicaragua","0.645","Medium"
"Guatemala","0.640","Medium"
"Namibia","0.640","Medium"
"Guyana","0.638","Medium"
"Micronesia","0.638","Medium"
"Tajikistan","0.627","Medium"
"Honduras","0.625","Medium"
"India","0.624","Medium"
"Bhutan","0.607","Medium"
"Timor Leste","0.605","Medium"
"Vanuatu","0.597","Medium"
"Congo, Republic of the","0.592","Medium"
"Equatorial Guinea","0.592","Medium"
"Kiribati","0.588","Medium"
"Laos","0.586","Medium"
"Bangladesh","0.579","Medium"
"Ghana","0.579","Medium"
"Zambia","0.579","Medium"
"São Tomé and Príncipe","0.574","Medium"
"Cambodia","0.563","Medium"
"Nepal","0.558","Medium"
"Myanmar","0.556","Medium"
"Kenya","0.555","Medium"
"Pakistan","0.550","Medium"
"Swaziland","0.541","Low"
"Syria","0.536","Low"
"Angola","0.533","Low"
"Tanzania","0.531","Low"
"Nigeria","0.527","Low"
"Cameroon","0.518","Low"
"Papua New Guinea","0.516","Low"
"Zimbabwe","0.516","Low"
"Solomon Islands","0.515","Low"
"Mauritania","0.513","Low"
"Madagascar","0.512","Low"
"Rwanda","0.498","Low"
"Comoros","0.497","Low"
"Lesotho","0.497","Low"
"Senegal","0.494","Low"
"Haiti","0.493","Low"
"Uganda","0.493","Low"
"Sudan","0.490","Low"
"Togo","0.487","Low"
"Benin","0.485","Low"
"Yemen","0.482","Low"
"Afghanistan","0.479","Low"
"Malawi","0.476","Low"
"Côte d'Ivoire","0.474","Low"
"Djibouti","0.473","Low"
"Gambia","0.452","Low"
"Ethiopia","0.448","Low"
"Mali","0.442","Low"
"Congo, Democratic Republic of the","0.435","Low"
"Liberia","0.427","Low"
"Guinea Bissau","0.424","Low"
"Eritrea","0.420","Low"
"Sierra Leone","0.420","Low"
"Mozambique","0.418","Low"
"South Sudan","0.418","Low"
"Guinea","0.414","Low"
"Burundi","0.404","Low"
"Burkina Faso","0.402","Low"
"Chad","0.396","Low"
"Niger","0.353","Low"
"Central African Republic","0.352","Low"
